scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization
"First-Come, First-Served",0.0,25.2,16.2,100.0
Shortest Job First,0.0,19.2,10.2,100.0
Shortest Remaining Time First,0.0,19.2,10.2,100.0
Round Robin (TQ=4),0.0,27.2,5.8,100.0
Priority,0.0,23.4,14.4,100.0
Priority (Preemptive),0.0,23.4,14.4,100.0
Multilevel Queue,0.0,22.8,11.2,100.0
