,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,1,Process-1,0,20,2,0,20,0,20,0
1,4,Process-4,2,4,5,20,24,0,22,18
2,5,Process-5,6,12,0,24,36,0,30,18
3,2,Process-2,8,18,3,36,54,0,46,28
4,3,Process-3,8,3,2,54,57,0,49,46
