,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,4,Process-4,2,4,5,2,8,0,6,0
1,3,Process-3,8,3,2,12,19,0,11,4
2,1,Process-1,0,20,2,0,41,0,41,0
3,2,Process-2,8,18,3,10,45,0,37,2
4,5,Process-5,6,12,0,45,57,0,51,39
