,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,4,Process-4,2,4,5,2,6,0,4,0
1,2,Process-2,8,18,3,8,26,0,18,0
2,1,Process-1,0,20,2,0,42,0,42,0
3,3,Process-3,8,3,2,42,45,0,37,34
4,5,Process-5,6,12,0,45,57,0,51,39
