,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,4,Process-4,2,4,5,2,6,0,4,0
1,3,Process-3,8,3,2,8,11,0,3,0
2,5,Process-5,6,12,0,6,21,0,15,0
3,1,Process-1,0,20,2,0,39,0,39,0
4,2,Process-2,8,18,3,39,57,0,49,31
