,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,1,Process-1,0,7,3,0,15,0,15,0
1,3,Process-3,6,2,1,15,17,0,11,9
2,4,Process-4,0,10,5,4,35,0,35,4
3,2,Process-2,4,12,1,8,39,0,35,4
4,5,Process-5,5,14,0,17,45,0,40,12
