,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,1,Process-1,0,7,3,0,7,0,7,0
1,4,Process-4,0,10,5,7,17,0,17,7
2,2,Process-2,4,12,1,17,29,0,25,13
3,5,Process-5,5,14,0,29,43,0,38,24
4,3,Process-3,6,2,1,43,45,0,39,37
