,PID,Name,Arrival Time,Burst Time,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
0,2,Process-2,0,8,5,2,26,0,26,2
1,4,Process-4,8,6,4,12,30,0,22,4
2,1,Process-1,0,10,2,0,32,0,32,0
3,3,Process-3,2,9,3,4,33,0,31,2
4,5,Process-5,5,8,1,33,41,0,36,28
